StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
IL,Chicago,1714000,17031630100,1714000-17031630100,"1,156",31.9,19.7,18.9,33.2,68.5,3.5,10.4,5.7,65.3,59.8,43.5,6.7,21.2,18.2,22.3,39.8,13.5,37.3,3.6,38.1,78.6,15.9,41.1,85.4,16.8,39.3,3.7,26.1,"(41.79927149500, -87.6816687890)"
IL,Chicago,1714000,17031630200,1714000-17031630200,"1,931",35,18,20.3,27.6,64.2,3.4,9.6,5.4,61.6,60.4,40.8,6.3,24.5,17.8,21.8,40,11.7,35.5,3.3,38,74.9,15.7,38,84.2,16.5,37.3,3,24.2,"(41.80274525800, -87.6940452758)"
IL,Chicago,1714000,17031630300,1714000-17031630300,"5,521",33.4,16.3,21.7,26.5,63.3,3.3,9,4.8,62.1,61.2,45.3,5.1,25.3,19,18.9,45.5,10.4,34.3,3,34.3,76.2,14,36.2,85.1,14.3,36.3,2.5,19.6,"(41.79886208230, -87.7086378378)"
IL,Chicago,1714000,17031630400,1714000-17031630400,"7,083",36.8,18,20.1,28.3,63.9,3.3,9.8,5.5,61.3,58.5,40.7,6.3,22.8,17.1,21.7,39.4,11.9,36.3,3.4,38.6,75,16.1,38.5,84.3,16.9,37.3,3,24.4,"(41.79725452360, -87.6987811010)"
IL,Chicago,1714000,17031630500,1714000-17031630500,"6,364",35.8,17.7,20.8,28.2,64.4,3.4,9.7,5.3,62,59.8,43.3,6,23.6,18.4,20.9,41.6,11.7,36.3,3.2,37.4,74.8,15.4,37.6,84,16.1,37.1,2.8,21.9,"(41.79742743340, -87.6890165197)"
IL,Chicago,1714000,17031630800,1714000-17031630800,"7,107",33.3,16.9,21.5,26.8,64.3,3.3,9.6,4.9,62.7,61.5,44.6,5.5,24.5,19.2,19.8,44.6,10.8,34.4,3,35,75.6,14.6,36.4,84.2,14.8,36.8,2.6,20.3,"(41.78996523820, -87.6985724502)"
IL,Chicago,1714000,17031630900,1714000-17031630900,"5,363",33.1,17.8,21.3,27,65.5,3.7,9.3,5.2,62.7,63.4,45.5,5.7,25.1,19.4,19.5,44.7,11.2,34.8,3.2,35.3,75.4,14.3,36.5,84.5,15,36.4,2.8,21.6,"(41.78981146420, -87.7083654952)"
IL,Chicago,1714000,17031640100,1714000-17031640100,"1,211",19.7,18.7,24.5,27.3,68.7,4.9,8.9,4.7,65.9,69.9,57.5,5.2,35.2,29.5,16.8,60.4,8.4,34.8,2.5,25.1,74.9,11.7,30.8,85,11.5,33.7,2.3,13.7,"(41.78209437090, -87.7399954185)"
IL,Chicago,1714000,17031640300,1714000-17031640300,"6,463",14.2,20.3,25.5,27.2,71.8,6.1,8.4,5,68,77,62.6,5,38.9,31.1,15,68.1,7.7,34.5,2.4,21.5,75,10.2,27.9,85.4,10.3,31.7,2.3,10.4,"(41.78153205350, -87.7716352587)"
IL,Chicago,1714000,17031640400,1714000-17031640400,"3,190",13.8,23.7,24,30.3,74.4,7,8.9,6.2,68.8,77.9,61.4,6.3,37.5,29.3,17.2,65.2,8.8,37,2.8,23.9,73.7,11.1,28.6,84.4,11.9,32,2.9,12.9,"(41.78117830330, -87.7912473905)"
